threads,repeat,histogram,bin,bin_label,content,exact_error,approx_error,rowwise_error,error_difference,relative_difference_pct,rowwise_relative_difference_pct
4,1,nGenJet,4,3.0,18480.0,135.94116374373144,135.939529039774,45.31372124792325,-0.0016347039574498012,-0.001202508432640581,-66.66666666665728
4,1,nGenJet,5,4.0,14582.0,120.75595223424807,120.75595223424807,40.25198407809278,0.0,0.0,-66.6666666666583
4,1,nGenJet,6,overflow,23237.0,152.43687217992897,152.43525239536788,50.81229072665852,-0.001619784561086135,-0.001062593674305834,-66.66666666665648
4,1,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
4,1,selected_nMuon,1,0.0,1697.5555555555386,30.68477726097371,30.68477726097371,13.733800783127162,0.0,0.0,-55.24229924720871
4,1,selected_nMuon,2,1.0,10569.111111111144,83.37969080960733,83.37969080960731,34.268727420387286,-1.4210854715202004e-14,-2.220446049250313e-14,-58.90039038566606
4,1,selected_nMuon,3,2.0,34096.11111110953,171.97369164288617,171.971394405656,61.550441023001575,-0.0022972372301524047,-0.0013358073599589737,-64.20938549669863
4,1,selected_nMuon,4,3.0,4233.111111110776,34.52928619213453,34.528928648023644,21.687454415221058,-0.00035754411088362303,-0.0010354807478352157,-37.19113017702268
4,1,selected_nMuon,5,4.0,352.5555555555603,7.781745019952446,7.781745019952445,6.258820935781154,-8.881784197001252e-16,-1.1102230246251565e-14,-19.57047012291593
4,1,selected_nMuon,6,overflow,23.44444444444443,1.9404721329525547,1.9404721329525547,1.6139821162593286,0.0,0.0,-16.82528757557833
4,2,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
4,2,nMuon,1,0.0,10149.666666666659,99.12562175789297,99.12375355341672,33.581851359643075,-0.0018682044762527994,-0.0018846837408159622,-66.1219261336244
4,2,nMuon,2,1.0,27232.333333332273,158.3032330062983,158.3015172712183,55.00740690867682,-0.001715735080011882,-0.001083828199477388,-65.2518739737373
4,2,nMuon,3,2.0,36635.55555555434,177.91224081579415,177.90960390179103,63.80138935754096,-0.002636914003119273,-0.0014821431010170194,-64.13884223761798
4,2,nMuon,4,3.0,4460.555555555184,35.62787783481362,35.62753131574485,22.262463564272487,-0.0003465190687705899,-0.0009726065368753645,-37.51392191392656
4,2,nMuon,5,4.0,362.7777777777829,7.909207011803056,7.907645932736869,6.348908723182922,-0.0015610790661870766,-0.019737491557081377,-19.72761980172818
4,2,nMuon,6,overflow,24.111111111111093,1.95946578761649,1.95946578761649,1.6367688736284716,0.0,0.0,-16.468616907088208
4,2,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
4,2,nGenJet,1,0.0,407.0,20.174241001832016,20.174241001832016,6.7247470006106145,0.0,0.0,-66.66666666666696
4,2,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.62167810425155,0.0,0.0,-66.66666666666727
4,2,nGenJet,3,2.0,21490.0,146.59467930317254,146.59063685929883,48.86489310107208,-0.004042443873714774,-0.0027575652083222657,-66.66666666665672
4,2,nGenJet,4,3.0,18480.0,135.94116374373144,135.939529039774,45.31372124792325,-0.0016347039574498012,-0.001202508432640581,-66.66666666665728
4,2,nGenJet,5,4.0,14582.0,120.75595223424807,120.75452091324637,40.25198407809278,-0.0014313210017036226,-0.0011853005795758875,-66.6666666666583
4,2,nGenJet,6,overflow,23237.0,152.43687217992897,152.43525239536788,50.81229072665852,-0.001619784561086135,-0.001062593674305834,-66.66666666665648
4,2,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
4,2,selected_nMuon,1,0.0,1697.5555555555386,30.68477726097371,30.68477726097371,13.733800783127164,0.0,0.0,-55.242299247208706
4,2,selected_nMuon,2,1.0,10569.111111111144,83.37969080960733,83.37850627494784,34.268727420387286,-0.0011845346594867578,-0.0014206512976788765,-58.90039038566606
4,2,selected_nMuon,3,2.0,34096.11111110953,171.97369164288617,171.971394405656,61.550441023001575,-0.0022972372301524047,-0.0013358073599589737,-64.20938549669863
4,2,selected_nMuon,4,3.0,4233.111111110775,34.52928619213452,34.528928648023644,21.687454415221058,-0.0003575441108765176,-0.0010354807478130112,-37.19113017702267
4,2,selected_nMuon,5,4.0,352.5555555555603,7.781745019952446,7.781745019952446,6.258820935781154,0.0,0.0,-19.57047012291593
4,2,selected_nMuon,6,overflow,23.44444444444443,1.9404721329525547,1.9404721329525547,1.6139821162593286,0.0,0.0,-16.82528757557833
8,1,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
8,1,nMuon,1,0.0,10149.66666666668,99.12562175789287,99.12375355341662,33.581851359635984,-0.0018682044762527994,-0.0018846837408159622,-66.1219261336315
8,1,nMuon,2,1.0,27232.33333333305,158.303233006301,158.2927823315767,55.00740690867249,-0.010450674724324927,-0.0066016811696489874,-65.25187397374064
8,1,nMuon,3,2.0,36635.555555555125,177.91224081580233,177.90648118993298,63.8013893575438,-0.005759625869359297,-0.0032373409738162273,-64.13884223761804
8,1,nMuon,4,3.0,4460.555555555399,35.62787783481295,35.62718479330507,22.2624635642746,-0.0006930415078798546,-0.001945222533583646,-37.513921913919454
8,1,nMuon,5,4.0,362.77777777777914,7.909207011803118,7.909207011803117,6.348908723182969,-8.881784197001252e-16,-1.1102230246251565e-14,-19.727619801728213
8,1,nMuon,6,overflow,24.11111111111111,1.9594657876164892,1.9594657876164892,1.636768873628471,0.0,0.0,-16.468616907088208
8,1,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
8,1,nGenJet,1,0.0,407.0,20.174241001832016,20.161998235281793,6.724747000610685,-0.012242766550222939,-0.06068514076496001,-66.6666666666666
8,1,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.621678104251684,0.0,0.0,-66.66666666666676
8,1,nGenJet,3,2.0,21490.0,146.59467930317254,146.59131060768578,48.8648931010672,-0.0033686954867562235,-0.002297965726161255,-66.66666666666006
8,1,nGenJet,4,3.0,18480.0,135.94116374373144,135.93862086241464,45.31372124791799,-0.0025428813167991393,-0.0018705749213587808,-66.66666666666114
8,1,nGenJet,5,4.0,14582.0,120.75595223424807,120.74879545957496,40.25198407808687,-0.00715677467310627,-0.005926643399922771,-66.6666666666632
8,1,nGenJet,6,overflow,23237.0,152.43687217992897,152.42585730547373,50.81229072665382,-0.011014874455241852,-0.007225859660930922,-66.66666666665957
8,1,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
8,1,selected_nMuon,1,0.0,1697.5555555555668,30.684777260973412,30.68477726097341,13.733800783126613,-3.552713678800501e-15,-1.1102230246251565e-14,-55.24229924721007
8,1,selected_nMuon,2,1.0,10569.111111110915,83.37969080961071,83.37080638943586,34.26872742038034,-0.00888442017485147,-0.010655376733337274,-58.90039038567606
8,1,selected_nMuon,3,2.0,34096.11111111059,171.97369164289324,171.96816386388795,61.5504410229977,-0.005527779005291222,-0.0032143166506903853,-64.20938549670237
8,1,selected_nMuon,4,3.0,4233.111111110981,34.529286192133604,34.52857110020948,21.687454415223105,-0.000715091924121225,-0.0020709722180267676,-37.191130177015076
8,1,selected_nMuon,5,4.0,352.55555555555674,7.7817450199525044,7.781745019952504,6.258820935781195,-8.881784197001252e-16,-1.1102230246251565e-14,-19.570470122916017
8,1,selected_nMuon,6,overflow,23.444444444444446,1.9404721329525538,1.9404721329525538,1.613982116259328,0.0,0.0,-16.82528757557833
8,2,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
8,2,nMuon,1,0.0,10149.666666666682,99.12562175789289,99.12051524891218,33.581851359635984,-0.005106508980702529,-0.005151553039606238,-66.12192613363152
8,2,nMuon,2,1.0,27232.333333333037,158.303233006301,158.29894363373327,55.00740690867248,-0.004289372567740202,-0.0027095925245967933,-65.25187397374064
8,2,nMuon,3,2.0,36635.55555555515,177.91224081580236,177.90259507195114,63.801389357543805,-0.009645743851223187,-0.005421630241397857,-64.13884223761804
8,2,nMuon,4,3.0,4460.555555555399,35.627877834812935,35.62649173831543,22.262463564274622,-0.001386096497505207,-0.0038904829075980807,-37.513921913919376
8,2,nMuon,5,4.0,362.7777777777792,7.909207011803121,7.907645932736933,6.348908723182969,-0.0015610790661879648,-0.01973749155709248,-19.727619801728245
8,2,nMuon,6,overflow,24.111111111111118,1.959465787616489,1.959465787616489,1.6367688736284707,0.0,0.0,-16.468616907088208
8,2,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
8,2,nGenJet,1,0.0,407.0,20.174241001832016,20.174241001832016,6.724747000610685,0.0,0.0,-66.6666666666666
8,2,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.621678104251682,0.0,0.0,-66.66666666666676
8,2,nGenJet,3,2.0,21490.0,146.59467930317254,146.5884471556547,48.8648931010672,-0.006232147517835074,-0.004251278114231205,-66.66666666666006
8,2,nGenJet,4,3.0,18480.0,135.94116374373144,135.93462480995126,45.31372124791799,-0.006538933780177558,-0.004810120496323567,-66.66666666666114
8,2,nGenJet,5,4.0,14582.0,120.75595223424807,120.74879545957496,40.25198407808686,-0.00715677467310627,-0.005926643399922771,-66.6666666666632
8,2,nGenJet,6,overflow,23237.0,152.43687217992897,152.4292590428284,50.81229072665382,-0.007613137100577205,-0.004994288449833295,-66.66666666665957
8,2,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
8,2,selected_nMuon,1,0.0,1697.555555555566,30.684777260973405,30.681960759530632,13.733800783126611,-0.0028165014427727897,-0.00917882316309182,-55.242299247210056
8,2,selected_nMuon,2,1.0,10569.111111110904,83.37969080961071,83.37672944140822,34.26872742038034,-0.002961368202491599,-0.0035516660876755424,-58.90039038567606
8,2,selected_nMuon,3,2.0,34096.111111110615,171.97369164289333,171.96658446582146,61.5504410229977,-0.007107177071873139,-0.004132711814219814,-64.20938549670238
8,2,selected_nMuon,4,3.0,4233.111111110981,34.52928619213361,34.527855993475356,21.687454415223105,-0.0014301986582552217,-0.004141987327210828,-37.19113017701508
8,2,selected_nMuon,5,4.0,352.5555555555567,7.781745019952507,7.781745019952507,6.258820935781196,0.0,0.0,-19.570470122916028
8,2,selected_nMuon,6,overflow,23.444444444444454,1.9404721329525536,1.9404721329525536,1.6139821162593277,0.0,0.0,-16.82528757557833
16,1,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
16,1,nMuon,1,0.0,10149.666666666677,99.1256217578931,99.11266814920442,33.581851359637426,-0.0129536086886759,-0.013067871312133494,-66.12192613363013
